statusCode,body__Items__gameStatus,body__Items__awayhome,body__Items__location,body__Items__season,body__Items__gameUID,body__Items__odds__total,body__Items__odds__history__date,body__Items__odds__history__total,body__Items__odds__history__prices__spreadHomePrice,body__Items__odds__history__prices__totalOverPrice,body__Items__odds__history__prices__spreadAwayPrice,body__Items__odds__history__prices__totalUnderPrice,body__Items__odds__history__spread,body__Items__odds__prices__spreadHomePrice,body__Items__odds__prices__totalOverPrice,body__Items__odds__prices__spreadAwayPrice,body__Items__odds__prices__totalUnderPrice,body__Items__odds__spread,body__Items__sport,body__Items__startDateTime,body__Items__homeTeam__shortName,body__Items__homeTeam__fullName,body__Items__homeTeam__code,body__Items__gameWeek,body__Items__year,body__Items__results__homeTeam__score,body__Items__results__total,body__Items__results__awayTeam__score,body__Items__results__spread,body__Items__stadium,body__Items__gameId,body__Items__awayTeam__shortName,body__Items__awayTeam__fullName,body__Items__awayTeam__code,body__Count,body__ScannedCount
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),54,104,-107,-115,-104,-4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),54,104,-107,-115,-104,-4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:30 GMT+0000 (Coordinated Universal Time),54,104,-107,-115,-104,-4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),54,-105,-107,-105,-104,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),53,-108,-106,-103,-105,-3.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:27 GMT+0000 (Coordinated Universal Time),53,-108,-106,-102,-105,-3.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sat Oct 03 2020 09:00:24 GMT+0000 (Coordinated Universal Time),53,-107,-106,-103,-105,-3.5,,,,,,,,,,,,,,,,,,,,,,,
,Unplayed,PITTEN,"Nashville, Tennessee",Regular,1328372,47,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),47,103,105,-114,-117,1,-106,105,-104,-117,2,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Titans,Tennessee Titans,TEN,4,2020,,,,,Nissan Stadium,2020regPITTEN,Steelers,Pittsburgh Steelers,PIT,,
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),47,103,105,-114,-117,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),47,107,105,-118,-117,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:29 GMT+0000 (Coordinated Universal Time),47,-106,105,-104,-117,2,,,,,,,,,,,,,,,,,,,,,,,
